frame,t,theta,velocity,acceleration,kinetic_energy,potential_energy,mechanical_energy
158,0.749,0.10938845863418531,0.3523618604445185,-1.0687252408559904,0.3575775764042563,0.3363542781793828,0.693931854583639
159,0.791,0.12320392180289148,0.3045722270339641,-1.2037023160142497,0.26716101546363424,0.42656644841611396,0.6937274638797482
160,0.831,0.13439338710840568,0.25417204111891967,-1.3130233920491234,0.18605786828128643,0.5074451216405438,0.6935029899218302
161,0.875,0.1442727300516366,0.19418095652635606,-1.4095445726044895,0.10859398236717287,0.5846582932764149,0.6932522756435878
162,0.921,0.15168557829645377,0.12756135479772582,-1.4819680999563531,0.04686306980495411,0.6461640160551128,0.6930270858600669
163,0.964,0.1557861986323884,0.06287796737096153,-1.5220311606384347,0.011386479688426664,0.6815009998984228,0.6928874795868495
164,1.006,0.1570789895961807,-0.001404932284955166,-1.5346617283546853,5.68464400889091e-06,0.6928354340447368,0.6928411186887456
165,1.05,0.1555341548053611,-0.06870411376301602,-1.5195686924483778,0.01359433511412897,0.6793020497723947,0.6928963848865237
166,1.093,0.1511860368959928,-0.13322938886174993,-1.4770875804738497,0.05112020176264908,0.6419231368230106,0.6930433385856597
167,1.133,0.1446906032282791,-0.19111911501303117,-1.4136271935402867,0.105196366435289,0.5880441006705992,0.6932404671058882
168,1.174,0.13568962208743818,-0.24735205070709035,-1.325687607794271,0.1762071465283286,0.5172659300252642,0.6934730765535928
169,1.215,0.12446320833920049,-0.2995281889049099,-1.2160055454739889,0.25838535153212755,0.43531970018852056,0.6937050517206481
170,1.255,0.11154173336896496,-0.34570372151909806,-1.0897627350147876,0.3441918616478038,0.34971278367901926,0.693904645326823
171,1.296,0.0964919533223366,-0.3874268669825036,-0.9427263839592285,0.4322867825084502,0.2617774640030151,0.6940642465114653
172,1.337,0.07985961791169859,-0.42279586118879314,-0.7802284669972952,0.514818259886515,0.17935384173133964,0.6941721016178546
173,1.377,0.06236843990985768,-0.45062348325067775,-0.6093396579193096,0.5848171881320847,0.1094147899516026,0.6942319780836873
174,1.418,0.04343195798845335,-0.47184276490551735,-0.4243302295471892,0.6411905130058079,0.05306859610182112,0.694259109107629
175,1.459,0.023783152648178225,-0.4853233981771495,-0.23236140137270125,0.678351746356462,0.015914955436790976,0.694266701793253
176,1.499,0.004235107278077234,-0.4908053091305965,-0.041376998106814576,0.6937627722358475,0.0005046790000517191,0.6942674512358992
177,1.541,-0.01635599810370957,-0.48831488821449504,0.15979810147324247,0.6867401185495722,0.0075271656336326365,0.6942672841832048
178,1.583,-0.036665624240767074,-0.47742079146930566,0.3582231488322943,0.6564401629262733,0.037823051437442405,0.6942632143637156
179,1.625,-0.05634425175864001,-0.45831050131611967,0.5504833396819129,0.6049397249759029,0.08930409730871201,0.6942438222846149
180,1.666,-0.07462154165096843,-0.43204405891408787,0.7290524619299615,0.5375867582677243,0.15660800248472165,0.6941947607524459
181,1.707,-0.09167497072439587,-0.3986917029267132,0.8956644639773477,0.45779061306989527,0.2363112667804508,0.6941018798503461
182,1.749,-0.10758312337298252,-0.3577511043864458,1.051087115354039,0.36859925574639835,0.32535420694307865,0.693953462689477
183,1.792,-0.12194987874318444,-0.30946383636007213,1.191450315320912,0.2758114541223173,0.41793765633401586,0.6937491104563331
184,1.833,-0.13360315035082315,-0.25821023231120005,1.3053027789275422,0.1920168693221872,0.5015039375941355,0.6935208069163227
185,1.874,-0.14306520937589567,-0.20272174676064175,1.3977470956025007,0.118356787035895,0.5749290398600863,0.6932858268959813
186,1.915,-0.15018086948680506,-0.14390844109098255,1.4672670948860853,0.05964376152164197,0.6334317961080301,0.6930755576296721
187,1.959,-0.15507482129879355,-0.07819316807929072,1.5150810040892129,0.01760881401871548,0.6753036893122414,0.6929125033309569
188,2.003,-0.15704019675590225,-0.011001222960339561,1.534282722305165,0.0003485574910745347,0.6924939691084018,0.6928425265994763
189,2.044,-0.15620221260589892,0.05182253803229005,1.5260956171596325,0.007734457290551467,0.685138228778447,0.6928726860689984
190,2.084,-0.15291542053741386,0.11230292987289828,1.4939836586505333,0.03632241040714687,0.6566639728157374,0.6929863832228843
191,2.126,-0.14689643181840312,0.17390382363089407,1.4351781388657985,0.08709851483552192,0.6060779028184514,0.6931764176539733
192,2.166,-0.13881174016733636,0.22980403876275074,1.3561907014348762,0.1520925011472149,0.5413049259807514,0.6933974271279664
